sample_name	accession
MFD02198	SAMN39866965
MFD02199	SAMN39866966
MFD02200	SAMN39866967
MFD02201	SAMN39866968
MFD02202	SAMN39866969
MFD02203	SAMN39866970
MFD02204	SAMN39866971
MFD02205	SAMN39866972
MFD02206	SAMN39866973
MFD02207	SAMN39866974
MFD02208	SAMN39866975
MFD02209	SAMN39866976
MFD02210	SAMN39866977
MFD02211	SAMN39866978
MFD02212	SAMN39866979
MFD02213	SAMN39866980
MFD02214	SAMN39866981
MFD02215	SAMN39866982
MFD02216	SAMN39866983
MFD02217	SAMN39866984
MFD02218	SAMN39866985
MFD02219	SAMN39866986
MFD02220	SAMN39866987
MFD02221	SAMN39866988
MFD02222	SAMN39866989
MFD02223	SAMN39866990
MFD02224	SAMN39866991
MFD02225	SAMN39866992
MFD02226	SAMN39866993
MFD02227	SAMN39866994
MFD02228	SAMN39866995
MFD02229	SAMN39866996
MFD02230	SAMN39866997
MFD02231	SAMN39866998
MFD02232	SAMN39866999
MFD02233	SAMN39867000
MFD02234	SAMN39867001
MFD02235	SAMN39867002
MFD02236	SAMN39867003
MFD02237	SAMN39867004
MFD02238	SAMN39867005
MFD02239	SAMN39867006
MFD02240	SAMN39867007
MFD02241	SAMN39867008
MFD02242	SAMN39867009
MFD02243	SAMN39867010
MFD02244	SAMN39867011
MFD02245	SAMN39867012
MFD02246	SAMN39867013
MFD02247	SAMN39867014
MFD02248	SAMN39867015
MFD02249	SAMN39867016
MFD02250	SAMN39867017
MFD02251	SAMN39867018
MFD02252	SAMN39867019
MFD02253	SAMN39867020
MFD02254	SAMN39867021
MFD02255	SAMN39867022
MFD02256	SAMN39867023
MFD02257	SAMN39867024
MFD02258	SAMN39867025
MFD02259	SAMN39867026
MFD02260	SAMN39867027
MFD02261	SAMN39867028
MFD02262	SAMN39867029
MFD02263	SAMN39867030
MFD02264	SAMN39867031
MFD02265	SAMN39867032
MFD02266	SAMN39867033
MFD02267	SAMN39867034
MFD02268	SAMN39867035
MFD02269	SAMN39867036
MFD02270	SAMN39867037
MFD02271	SAMN39867038
MFD02272	SAMN39867039
MFD02273	SAMN39867040
MFD02274	SAMN39867041
